name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included
World Endurance Championship,"LMDh,GT3_Gen2",98,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,8,"Multiclass,GT,Prototype,World,WEC",1,3,1,12,1,19,2023,,FALSE
IMSA WeatherTech SportsCar Championship,"LMDh,LMP2,GT3_Gen2",96,"350,320,300,280,260,250,240,230,220,210,200,190,180,170,160,150,140,130,120,110,100,90,80,70,60,50,40,30,20,10",TRUE,rolling,,TRUE,11,"Multiclass,GT,Prototype,North America,IMSA",1,3,1,12,1,19,2023,,FALSE
NTT IndyCar,F-USA_2023,94,"50,40,35,32,30,28,26,24,22,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,FALSE,16,"Open Wheel,North America,Indy",1,3,1,12,1,19,2000,,FALSE
Intercontinental GT Challenge,GT3_Gen2,93,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,5,"GT,World,SRO",1,3,1,12,1,19,2022,,FALSE
Formula 2,F-Reiza,91,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,identical,TRUE,12,"Open Wheel,World,F1",1,3,1,12,1,19,2017,,FALSE
GT World Challenge Europe,GT3_Gen2,90,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,10,"GT,Europe,SRO",1,3,1,12,1,20,2022,,FALSE
Porsche Carrera Supercup,Carrera Cup,87,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,Europe",1,3,1,12,1,20,2010,,FALSE
GT World Challenge America,GT3_Gen2,85,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,7,"GT,North America,SRO",1,3,1,12,1,20,2022,,FALSE
European Le Mans Series,"GT3,P1Gen2,LMP2_Gen1",84,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,6,"Multiclass,GT,Prototype,Europe,WEC",1,3,1,12,1,20,2023,,FALSE
Nürburgring Langstrecken-Serie,"GT3_Gen2,GT4",82,"15,11,8,6,4,3,2,1",TRUE,rolling,,FALSE,8,"GT,Multiclass,Europe",1,3,1,12,1,20,2022,,FALSE
Indy NXT,F-Reiza,81,"50,40,35,32,30,28,26,24,22,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,FALSE,12,"Open Wheel,North America,Indy",1,3,1,12,1,20,2010,,FALSE
Formula 3,F-3,80,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,,TRUE,10,"Open Wheel,World,F1",1,3,1,12,1,20,2017,,FALSE
British GT Championship,"GT3_Gen2,GT4",77,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,8,"GT,United Kingdom",1,3,1,12,1,20,2022,,FALSE
Porsche Carrera Cup North America,Carrera Cup,74,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,North America",1,3,1,12,1,21,2010,,FALSE
Porsche Carrera Cup UK,Carrera Cup,73,"25,20,17,14,12,10,9,8,7,6,5,4,3,2,1",FALSE,standing,,TRUE,8,"GT,One Make,United Kingdom",1,3,1,12,1,21,2010,,FALSE
GT World Challenge Sprint,GT3_Gen2,72,"25,18,15,12,10,8,6,4,2,1",TRUE,standing,,TRUE,6,"GT,SRO",1,3,1,12,1,21,2022,,FALSE
Lamborghini Super Trofeo Europe,Super Trofeo,71,"15,12,10,8,6,5,4,3,2,1",TRUE,rolling,,TRUE,6,"GT,One Make,Europe",1,3,1,12,1,21,2024,,FALSE
Lamborghini Super Trofeo North America,Super Trofeo,69,"15,12,10,8,6,5,4,3,2,1",TRUE,rolling,,TRUE,6,"GT,One Make,North America",1,3,1,12,1,21,2024,,FALSE
Ferrari Challenge Europe,GT2_05,67,"15,12,10,8,6,4,2,1",FALSE,rolling,identical,TRUE,8,"GT,One Make,Europe",1,3,1,12,1,21,2005,,FALSE
Ferrari Challenge North America,GT2_05,65,"15,12,10,8,6,4,2,1",FALSE,rolling,identical,TRUE,8,"GT,One Make,North America",1,3,1,12,1,21,2005,,FALSE
