class,car_name,livery_name,livery_id,is_mod
620R,Caterham Seven 620 R Racing,Team Etienne Cycles #224,71,TRUE
620R,Caterham Seven 620 R Racing,Team Etienne Cycles #225,72,TRUE
620R,Caterham Seven 620 R Racing,Team Avilgio #230,73,TRUE
620R,Caterham Seven 620 R Racing,Team Avilgio #231,74,TRUE
620R,Caterham Seven 620 R Racing,Team Asluco #234,75,TRUE
620R,Caterham Seven 620 R Racing,Team Asluco #235,76,TRUE
620R,Caterham Seven 620 R Racing,Team PCRM #248,77,TRUE
620R,Caterham Seven 620 R Racing,Team PCRM #249,78,TRUE
620R,Caterham Seven 620 R Racing,Team Horbsner #268,79,TRUE
620R,Caterham Seven 620 R Racing,Team Horbsner #269,80,TRUE
620R,Caterham Seven 620 R Racing,Team Ringley #252,81,TRUE
620R,Caterham Seven 620 R Racing,Team Ringley #253,82,TRUE
620R,Caterham Seven 620 R Racing,Team Hazdovac #321,83,TRUE
620R,Caterham Seven 620 R Racing,Team Hazdovac #322,84,TRUE
620R,Caterham Seven 620 R Racing,Team Morrish #406,85,TRUE
620R,Caterham Seven 620 R Racing,Team Morrish #407,86,TRUE
620R,Caterham Seven 620 R Racing,Team Rushy #264,87,TRUE
620R,Caterham Seven 620 R Racing,Team Rushy #265,88,TRUE
620R,Caterham Seven 620 R Racing,Team Perkins #338,89,TRUE
620R,Caterham Seven 620 R Racing,Team Perkins #339,90,TRUE
80' supercars,Ferrari F40,Rosso Corsa,1,TRUE
80' supercars,Ferrari F40,Giallo,2,TRUE
80' supercars,Ferrari F40,Bianco,3,TRUE
80' supercars,Ferrari F40,Nero,4,TRUE
80' supercars,Ferrari F40,Argento,5,TRUE
80' supercars,Porsche 959 S,Silber Metallic,1,TRUE
80' supercars,Porsche 959 S,Alpinweiss,2,TRUE
80' supercars,Porsche 959 S,Schwarz,3,TRUE
80' supercars,Porsche 959 S,Dunkelgrau Metallic,4,TRUE
80' supercars,Porsche 959 S,Perlweiss,5,TRUE
80' supercars,Porsche 959 S,Indischrot,6,TRUE
80' supercars,Porsche 959 S,Rubinrot Metallic,7,TRUE
80' supercars,Porsche 959 S,Dunkelblau,8,TRUE
80' supercars,Porsche 959 S,Nautic Metallic,9,TRUE
80' supercars TD,Ferrari F40 Track Days,Rosso Corsa,1,TRUE
80' supercars TD,Ferrari F40 Track Days,Giallo,2,TRUE
80' supercars TD,Ferrari F40 Track Days,Bianco,3,TRUE
80' supercars TD,Ferrari F40 Track Days,Nero,4,TRUE
80' supercars TD,Ferrari F40 Track Days,Argento,5,TRUE
80' supercars TD,Porsche 959S Track Days,Silber Metallic,1,TRUE
80' supercars TD,Porsche 959S Track Days,Alpinweiss,2,TRUE
80' supercars TD,Porsche 959S Track Days,Schwarz,3,TRUE
80' supercars TD,Porsche 959S Track Days,Dunkelgrau Metallic,4,TRUE
80' supercars TD,Porsche 959S Track Days,Perlweiss,5,TRUE
80' supercars TD,Porsche 959S Track Days,Indischrot,6,TRUE
80' supercars TD,Porsche 959S Track Days,Rubinrot Metallic,7,TRUE
80' supercars TD,Porsche 959S Track Days,Dunkelblau,8,TRUE
80' supercars TD,Porsche 959S Track Days,Nautic Metallic,9,TRUE
90' Supercars,Jaguar XJ220 S,Yellow,1,TRUE
90' Supercars,Jaguar XJ220 S,Lightblue,2,TRUE
90' Supercars,Jaguar XJ220 S,Red,3,TRUE
90' Supercars,Jaguar XJ220 S,Green,4,TRUE
90' Supercars,Jaguar XJ220 S,Orange,5,TRUE
90' Supercars,Jaguar XJ220 S,White,6,TRUE
90' Supercars,Jaguar XJ220 S,Black,7,TRUE
90' Supercars,Jaguar XJ220 S,Silver Metallic,8,TRUE
90' Supercars,McLaren F1,Magnesium Silver Metallic,1,TRUE
90' Supercars,McLaren F1,Pearl White,2,TRUE
90' Supercars,McLaren F1,Bright Yellow,3,TRUE
90' Supercars,McLaren F1,McLaren Orange,4,TRUE
90' Supercars,McLaren F1,Grand Prix Red,5,TRUE
90' Supercars,McLaren F1,Mercury Red Metallic,6,TRUE
90' Supercars,McLaren F1,Dorchester Grey Metallic,7,TRUE
90' Supercars,McLaren F1,Creighton Brown Metallic,8,TRUE
90' Supercars,McLaren F1,Jet Black,9,TRUE
90' Supercars,McLaren F1,Genesis Blue Metallic,10,TRUE
90' Supercars,McLaren F1,Electric Blue Metallic,11,TRUE
90' Supercars,McLaren F1,Pale Blue Metallic,12,TRUE
90' Supercars,McLaren F1,Grey Green Metallic,13,TRUE
90' Supercars,McLaren F1,Dark Green Metallic,14,TRUE
90' Supercars,McLaren F1,Burgundy,15,TRUE
90' Supercars,McLaren F1,Custom Livery,99,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Yellow,1,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Lightblue,2,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Red,3,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Green,4,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Orange,5,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,White,6,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Black,7,TRUE
90' Supercars TD,Jaguar XJ220S Track Days,Silver Metallic,8,TRUE
90' Supercars TD,McLaren F1 Track Days,Magnesium Silver Metallic,1,TRUE
90' Supercars TD,McLaren F1 Track Days,Pearl White,2,TRUE
90' Supercars TD,McLaren F1 Track Days,Bright Yellow,3,TRUE
90' Supercars TD,McLaren F1 Track Days,McLaren Orange,4,TRUE
90' Supercars TD,McLaren F1 Track Days,Grand Prix Red,5,TRUE
90' Supercars TD,McLaren F1 Track Days,Mercury Red Metallic,6,TRUE
90' Supercars TD,McLaren F1 Track Days,Dorchester Grey Metallic,7,TRUE
90' Supercars TD,McLaren F1 Track Days,Creighton Brown Metallic,8,TRUE
90' Supercars TD,McLaren F1 Track Days,Jet Black,9,TRUE
90' Supercars TD,McLaren F1 Track Days,Genesis Blue Metallic,10,TRUE
90' Supercars TD,McLaren F1 Track Days,Electric Blue Metallic,11,TRUE
90' Supercars TD,McLaren F1 Track Days,Pale Blue Metallic,12,TRUE
90' Supercars TD,McLaren F1 Track Days,Grey Green Metallic,13,TRUE
90' Supercars TD,McLaren F1 Track Days,Dark Green Metallic,14,TRUE
90' Supercars TD,McLaren F1 Track Days,Burgundy,15,TRUE
90' Supercars TD,McLaren F1 Track Days,Custom Livery,99,TRUE
ARC_Cam,ARC Camaro,Leo Panthera Autosports #1,51,FALSE
ARC_Cam,ARC Camaro,Leo Panthera Autosports #2,52,FALSE
ARC_Cam,ARC Camaro,Team Hudson Hire Racing #3,53,FALSE
ARC_Cam,ARC Camaro,Team Hudson Hire Racing #4,54,FALSE
ARC_Cam,ARC Camaro,Apex Motorsports #08,55,FALSE
ARC_Cam,ARC Camaro,Apex Motorsports #09,56,FALSE
ARC_Cam,ARC Camaro,Dev Star Racing #11,57,FALSE
ARC_Cam,ARC Camaro,Dev Star Racing #12,58,FALSE
ARC_Cam,ARC Camaro,Reiza Racing #13,59,FALSE
ARC_Cam,ARC Camaro,Reiza Racing #14,60,FALSE
ARC_Cam,ARC Camaro,Team Racer Rubber #22,61,FALSE
ARC_Cam,ARC Camaro,Team Racer Rubber #23,62,FALSE
ARC_Cam,ARC Camaro,Team Redlight #36,63,FALSE
ARC_Cam,ARC Camaro,Team Redlight #37,64,FALSE
ARC_Cam,ARC Camaro,Bebeto Tyres #41,65,FALSE
ARC_Cam,ARC Camaro,Bebeto Tyres #42,66,FALSE
ARC_Cam,ARC Camaro,Eagle Ray Motorsport #51,67,FALSE
ARC_Cam,ARC Camaro,Eagle Ray Motorsport #52,68,FALSE
ARC_Cam,ARC Camaro,Brookfield Motorsports #72,69,FALSE
ARC_Cam,ARC Camaro,Brookfield Motorsports #73,70,FALSE
ARC_Cam,ARC Camaro,Mobius Autosports #98,71,FALSE
ARC_Cam,ARC Camaro,Mobius Autosports #99,72,FALSE
audittscup,Audi TT Cup,Team TTS #1,71,TRUE
audittscup,Audi TT Cup,Team TTS #2,72,TRUE
audittscup,Audi TT Cup,Team Alpinestars #20,73,TRUE
audittscup,Audi TT Cup,Team Alpinestars #21,74,TRUE
audittscup,Audi TT Cup,Team SuperPro #35,75,TRUE
audittscup,Audi TT Cup,Team SuperPro #36,76,TRUE
audittscup,Audi TT Cup,Team Billcker #4,77,TRUE
audittscup,Audi TT Cup,Team Billcker #5,78,TRUE
audittscup,Audi TT Cup,Team Stillen #16,79,TRUE
audittscup,Audi TT Cup,Team Stillen #17,80,TRUE
audittscup,Audi TT Cup,Descksbern Motorsport #80,81,TRUE
audittscup,Audi TT Cup,Descksbern Motorsport #81,82,TRUE
audittscup,Audi TT Cup,Bersmann Motorsport #25,83,TRUE
audittscup,Audi TT Cup,Bersmann Motorsport #26,84,TRUE
audittscup,Audi TT Cup,Double Impact Motorsport #78,85,TRUE
audittscup,Audi TT Cup,Double Impact Motorsport #79,86,TRUE
audittscup,Audi TT Cup,Team Ilabb #09,87,TRUE
audittscup,Audi TT Cup,Team Ilabb #10,88,TRUE
audittscup,Audi TT Cup,Team Aorus #29,89,TRUE
audittscup,Audi TT Cup,Team Aorus #30,90,TRUE
audittscup,Audi TT Cup,Team Recaro #7,91,TRUE
audittscup,Audi TT Cup,Team Recaro #8,92,TRUE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #911,51,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #00,52,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #1,53,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #16,54,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #53,55,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #55,56,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #65,57,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #78,58,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #87,59,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #96,60,FALSE
Carrera Cup,Porsche 911 GT3 Cup 3.8,Porsche 911 GT3 Cup 3.8 #97,61,FALSE
