name,principal,driver_loyalty,expectation_level,performance_rating,engineering_weight,engineering_drag,engineering_power
A. J. Foyt Racing,Larry Foyt,,,,,,
Abel Motorsports,Bill Abel,,,,,,
Alpine,Steve Nielsen,,,,,,
Alpine Track Operations,Olivier Bernard,,,,,,
Andretti Global,Dan Towriss,,,,,,
Anglo American Racers,Dan Gurney,,,,,,
Apex Brasil Motorsport,Leonardo Tavares,,,,,,
Apex Motorsports,Sienna Marchetti,,,,,,
Apex Precision Competizione,Lars Eriksen,,,,,,
Apex-Works North,Michael Ashworth,,,,,,
Aragon Motorsport United,Javier Solana,,,,,,
Arcane Racing Group,Jasper van der Meer,,,,,,
Aston Martin,Andy Cowell,,,,,,
Astraea Endurance,Eleni Papadakis,,,,,,
Atlantic Racing Union,Liam O'Connor,,,,,,
Atlas Racing Group,Dimitri Volkov,,,,,,
Audi,Jonathan Wheatley,,,,,,
Azzurra Motorsport,Marco De Santis,,,,,,
Bayside Trackside Services,Tommy Sullivan,,,,,,
Bebeto Tyres,Jack Okonkwo,,,,,,
Black Wolf RX,,,,,,,
Blackwood Racing Systems,Marco Bianchi,,,,,,
Blau Motorsport,Marcelo Hahn,,,,,,
Blue Ridge Mini Team,Tyler Brooks,,,,,,
Blue Ridge Speed Co.,Frank Delacroix,,,,,,
Brabham Racing Organisation,Jack Brabham,,,,,,
Breakell-Lane Engineering,Peter Breakell,,,,,,
Brickyard Performance Lab,Alan Foster,,,,,,
British Racing Motors,Alfred Owen,,,,,,
Brookfield Motorsports,Douglas Hartwell,,,,,,
Buckshot Racing Group,Earl Magnusson,,,,,,
Cape Motorsports,Nicholas Cape,,,,,,
Catalyst Motorsports,Adriana Silva,,,,,,
Cavaleiro Sports,Beto Cavaleiro,,,,,,
Cavalieri Rosso Group,William Kowalski,,,,,,
Chip Ganassi Racing,Chip Ganassi,,,,,,
Circuitus Legacy Racing,Maria Gonzales,,,,,,
Cooper Car Company,Charles Cooper,,,,,,
Copersucar Fittipaldi,Wilson Fittipaldi,,,,,,
Copperhead Racing,Randy Weston,,,,,,
Cote d'Azur Competizione,Fabien de Rossi,,,,,,
Cotswold Precision Racing,Sarah Mitchell,,,,,,
Crown Racing,William Lube,,,,,,
Cusick Morgan Motorsports,Don Cusick,,,,,,
Dale Coyne Racing,Dale Coyne,,,,,,
Delta Racing Academy,Bram van Dijk,,,,,,
Dev Star Racing,Omar Fjelstad,,,,,,
Dreyer & Reinbold Racing,Dennis Reinbold,,,,,,
Dustbowl Performance,Cindy Ortega,,,,,,
Eagle Ray Motorsport,Nadia Sorensen,,,,,,
Ecurie Belge Developpement,Guy Hendrickx,,,,,,
Ed Carpenter Racing,Ed Carpenter,,,,,,
Eiger Sport Management,Stefan Müller,,,,,,
Elysium GT Racing,Alexander Hayes,,,,,,
Embassy Hill,Graham Hill,,,,,,
Escuderia Bandeirantes,Chico Landi,,,,,,
Eurofarma RC,Rosinei Campos,,,,,,
Exotic Motors Alliance,Robert Harrison,,,,,,
Flatland Autosport,Jerry Stonebridge,,,,,,
Flint Hills Raceworks,Caleb Sterling,,,,,,
Fox-Davies Preparations,Robert Fox-Davies,,,,,,
Frontier Speed Works,Loretta Vance,,,,,,
Full Time Bassani,Eduardo Bassani,,,,,,
Garnet Motorsport,Amanda Pearson,,,,,,
Garrison-Hague Motorsport,Alistair Hague,,,,,,
Golden Gate Racing Group,Jennifer Chen,,,,,,
Granite State Garage,Dale Winters,,,,,,
Gravel Pit Racing,Nora Thibodeau,,,,,,
Gulf Coast Competition,Miguel Rodriguez,,,,,,
Haas,Ayao Komatsu,,,,,,
Hardtack Motorsports,Tommy Briscoe,,,,,,
Helvetia Junior Team,Stefan Eberhard,,,,,,
Heritage Racing Collective,James Patterson,,,,,,
Hesketh Racing,Harvey Postlethwaite,,,,,,
High Plains Speedworks,Marcus Webb,,,,,,
HMD Motorsports,Mike Maurini,,,,,,
Honda Racing,Nobuhiko Kawamoto,,,,,,
Interlagos Competition Kart,Gustavo Menezes,,,,,,
Ipiranga Racing,Diego Ramos,,,,,,
Ironclad Racing Group,Sherry Calloway,,,,,,
Ironwood Performance,Olivia Zhang,,,,,,
Juncos Hollinger Racing,Ricardo Juncos,,,,,,
Kaiser-Wolff Racing,Pieter van Dijk,,,,,,
Kinetix European Racing,Lukas Bergmann,,,,,,
KTF Racing,Leandro Reis,,,,,,
KTF Sports,Paulo Reales,,,,,,
Lemanic Motorsport,Christophe Dumont,,,,,,
Leo Panthera Autosports,Cassandra Wolfe,,,,,,
Levante Motorsport Kart,Javier Morales,,,,,,
Liberty Motorsports,Benjamin Wright,,,,,,
Lone Star Aero-Sport,Carson Hayes,,,,,,
Lone Star Racing Team,Don Beauchamp,,,,,,
Loomis-Vance Racing,Sterling Vance,,,,,,
Lucky Strike Racing,Georges Reynolds,,,,,,
Luzern Precision Engineering,Beat Steiner,,,,,,
Maranello Global Partners,David Chen,,,,,,
Maranello Kart Competition,Alessandro Conti,,,,,,
Martini Racing,John Tanner,,,,,,
Matra Sports,Jean-Luc Lagardère,,,,,,
McLaren Racing,Zak Brown,,,,,,
Mercedes-AMG,Toto Wolff,,,,,,
Meridian Cup Racing,Christopher Wade,,,,,,
Meyer Shank Racing,Michael Shank,,,,,,
Milano Kart Academy,Davide Ferraro,,,,,,
MOBIL ALE,Andrea Gomes,,,,,,
Mobius Autosports,Yuki Brennan,,,,,,
Nexus Prototype Racing,Elena Rodriguez,,,,,,
Nordic Speed Academy,Søren Lindberg,,,,,,
Nova Aero,Yuki Tanaka,,,,,,
Nova Geração Racing,Rafael Moreira,,,,,,
Olympus Euro-Racing,Adonis Karalis,,,,,,
Orion Automotive,Wolfgang Bauer,,,,,,
Owen Racing Organisation,Raymond Mays,,,,,,
Palmetto State Racing,Travis Coleman,,,,,,
Pannonian Speed Group,László Kovács,,,,,,
Pendle Hill Motorsport,Andrew Harrison,,,,,,
Pennine Raceworks,Edward King,,,,,,
Piedmont Racing Co.,Sandra Wexler,,,,,,
Pole Motorsport,Joselmo Barcik,,,,,,
Prema Racing,Piers Phillips,,,,,,
Prima Linea Kart Team,Stefano Romano,,,,,,
Prime Motorsport Academy,Felipe Carvalho,,,,,,
Racing Bulls,Alan Permane,,,,,,
Rahal Letterman Lanigan Racing,Bobby Rahal,,,,,,
Raven X Rally,,,,,,,
RCM Motorsport,Marcel Campos,,,,,,
Red Bull Racing,Laurent Mekies,,,,,,
Red Canyon Racing,Bobby Tremayne,,,,,,
Reg Parnell Racing,Reg Parnell,,,,,,
Reinhardt Rennsport,Klaus Reinhardt,,,,,,
Reiza Racing,Priya Delacroix,,,,,,
Renault F1 Team,Steve Nielsen,,,,,,
Rennsport Global Division,Reiner Wenzel,,,,,,
Rhein Performance Kart,Niklas Schneider,,,,,,
Ribeiro Kart Racing,Eduardo Ribeiro,,,,,,
Ridgeline Motorsports,Patricia Dunmore,,,,,,
Sawgrass Performance Group,Elena Rodriguez,,,,,,
Schwarzwald Racing Group,Kristina Novak,,,,,,
Scuderia Bellini Kart,Lorenzo Bellini,,,,,,
Scuderia Chiarelli,Carlos Chiarelli,,,,,,
Scuderia Corsa International,Anthony Russo,,,,,,
Scuderia Ferrari,Frédéric Vasseur,,,,,,
Scuderia Nord Corse,Giacomo Lombardi,,,,,,
Scuderia Paulista Kart Team,Marcelo Andrade,,,,,,
Scuderia Scribante,Aldo Scribante,,,,,,
Scuderia Valeriani,Luca Valeriani,,,,,,
Solari Motorworks,Marcus Thornhill,,,,,,
Sovereign GT Stable,Alistair Thorne,,,,,,
Stallion Motorsports,Tammy Burkhart,,,,,,
Sterling Performance Group,James Sterling,,,,,,
Stuttgart Performance Engineering,Sebastian Wolff,,,,,,
Summit Peak Motorsports,Rebecca Sawyer,,,,,,
Sunbelt Autosport,Hank Figueroa,,,,,,
Takumi Kart Works,Kenta Fujimoto,,,,,,
TCR,David Thompson,,,,,,
Team Hudson Hire Racing,Brett Nakamura,,,,,,
Team Lotus,Colin Chapman,,,,,,
Team Penske,Jonathan Diuguid,,,,,,
Team Racer Rubber,Angus Lefevre,,,,,,
Team Redlight,Valentina Cruz,,,,,,
Thames Valley Preparations,Arthur Miller,,,,,,
The 405 Garage,James McAllister,,,,,,
Thunder Apex RX,,,,,,,
Thunderhead Motorsports,Dale Hutchins,,,,,,
Titanium Endurance Racing,Laurent Beaumont,,,,,,
TMG Racing,Thiago Meneghel,,,,,,
Tridente Global Competizione,Thomas Wright,,,,,,
Vanguard Motorsport Group,Sebastian Wolff,,,,,,
Vauquelin Grand Prix,Marc-André Vauquelin,,,,,,
Vector Dynamics Racing,Pierre Lefèvre,,,,,,
Velocity Racing Brasil,Thiago Nascimento,,,,,,
Velocity UK Developments,Emma Richardson,,,,,,
Via-Marelli Competizione,Isabella Marelli,,,,,,
Vistula Racing Lab,Mateusz Zieliński,,,,,,
Vitesse Pro-Racing,Jean-Paul Laurent,,,,,,
Vogel Motorsport,Mauro Vogel,,,,,,
Vortex Italia Racing,Matteo Ricci,,,,,,
Vortex Rallycross,,,,,,,
Westbridge Kart Racing,Oliver Harrington,,,,,,
Williams Racing,James Vowles,,,,,,
Wokin Garra Racing,Carlos Ortiz,,,,,,
Zenith Autosport,James Harrington,,,,,,
