name,categories,prestige,points,pit_stop,start_type,field_type,parc_ferme,events_count,tags,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,start_year,end_year,default_included,intro
American Le Mans Series,"LMP1_05,LMP2_05,GT1_05,GT2_05",95,"23,19,16,13,11,9,7,6,5,4",FALSE,rolling,,TRUE,8,"Multiclass,GT,Prototype,North America",1,3,1,12,1,19,2000,2013,FALSE,
ARCA Menards Series (Gen 3),Stock_USA_Gen1,60,"175,170,165,160,155,150,146,142,138,134,130,127,124,121,118,115,112,109,106,103,100,97,94,91,88,85,82,79,76,73,70,67,64,61,58,55,52,49,46,43",TRUE,rolling,identical,TRUE,12,"Stock Car,North America,NASCAR",1,3,1,12,1,19,1981,2005,FALSE,
ARCA Menards Series (Gen 4),Stock_USA_Gen2,60,"40,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1",TRUE,rolling,identical,TRUE,12,"Stock Car,North America,NASCAR",1,3,1,12,1,19,2006,,FALSE,
Aussie Racing Cars Super Series,ARC_Cam,50,"51,50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30",FALSE,rolling,,TRUE,6,"ARC,Australia",1,3,1,12,1,19,2001,,FALSE,"Don't let the size fool you, these things are essentially half-scale silhouettes of Mustangs, Camaros and Commodores, but they race like anything but a toy. Under that fibreglass body sits a 1.3-litre Yamaha motorcycle engine producing around 135 horsepower, mated to a sequential motorbike gearbox and revving out past 11,000 rpm, in a car that weighs only around 500 kilograms. That power-to-weight ratio is enough to send you well past 200 km/h on the straights of Australia's biggest circuits, all while running support to the Supercars Championship in front of a full house. It's tight, it's physical, and with a grid built around genuine parity, driver skill takes precedence over deep pockets or factory backing, so there's no hiding if you can't find the rhythm."
BFGoodrich Langstreckenmeisterschaft,"GT1_05,GT2_05,GTR_04",65,"10,8,6,5,4,3,2,1",FALSE,rolling,,TRUE,9,"Multiclass,GT,Germany",1,3,1,12,1,19,2005,2009,FALSE,
Brazil Karting Club,KartGX390,10,"25,18,15,12,10,8,6,4,2,1",FALSE,standing,identical,FALSE,8,"Karting,Brazil",1,3,1,12,1,19,2016,,FALSE,"Welcome to the purest form of wheel-to-wheel racing there is, no gears to worry about, no clutch to manage, just a Honda GX390 four-stroke sat behind you putting out a modest amount of horsepower through a single fixed ratio. With that little power on tap, every position you gain has to come from a cleaner line and a later brake, there's no engine to bail you out of a bad exit. It's an unforgiving teacher in the best way, learn to carry corner speed here and you'll understand exactly why so many professional drivers still call karting the foundation of everything they know."
British GT Championship,"GT3_Gen2,GT4",77,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,8,"GT,United Kingdom",1,3,1,12,1,20,2022,,FALSE,"Welcome to a venerable sportscar championship, the field is well represented here with second gen GT3s, GT4s and some gruelling endurance trials. To be among the best here you have to be familiar not only with the demands of your car, but others around you, all while minding other packs of cars fighting in front and behind you. Keep your eyes open!"
British GT Championship (00's),GT2_05,30,"10,8,6,5,4,3,2,1",TRUE,rolling,,TRUE,7,"GT,United Kingdom",1,3,1,12,1,19,2000,2010,FALSE,
British GT Open,GTOpen,60,"25,18,15,12,10,8,6,4,2,1",TRUE,rolling,,TRUE,8,"GT,United Kingdom",1,3,1,12,1,19,2013,,FALSE,"Welcome to one of the most eclectic grids you'll find on a British paddock, where full-fat GT3 machinery lines up alongside one of the fastest kit-car-turned-racer ever built. The Ginetta G55 GT3 brings a proper 3.7-litre V8, sequential paddle-shift and all the aero and slick-tyre grip you'd expect of a factory GT3 car, a serious, professional tool that rewards precise, disciplined driving. The Ultima GTR Race is a different animal entirely, a mid-engined missile that trades some outright downforce for astonishing power-to-weight, so don't be surprised if one comes flying past you on the straight only to hand the position straight back under braking. Managing that gap between the two philosophies, patience against a GT3 car, respect against an Ultima's raw pace, is what separates the drivers who thrive here from the ones who just survive it."
Campeonato Brasileiro de Endurance,"P3,P4",75,"150,130,115,105,100,95,90,85,80,75",TRUE,rolling,,TRUE,8,"Prototype,Multiclass,South America",1,3,1,12,1,19,2009,2016,FALSE,"Welcome to Brazil's home-grown prototype battle, where P3 and P4 machinery share the track across some of the country's longest, most demanding races. The P3 cars sit at the sharper end, more downforce and more outright pace, while the P4s trade some of that performance for a more accessible, cost-conscious package, meaning traffic management becomes as important as raw speed. Multi-hour stints, pit strategy and reading where the class ahead or behind is in their own race will define your result just as much as any single lap. Respect the distance and respect the car in your mirrors, and this championship will reward patience over bravado every single time."
