name,categories,prestige,init_month,init_day,registration_start_month,registration_start_day,registration_end_month,registration_end_day,points,pit_stop,start_type,field_type,events_count,tags,start_year,end_year,default_included
World Endurance Championship,"LMDh, GT3_Gen2",98,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,8,"Multiclass, GT, Prototype, World, WEC",,,TRUE
IMSA WeatherTech SportsCar Championship,"LMDh, LMP2, GT3_Gen2",96,1,3,1,12,1,19,"350, 320, 300, 280, 260, 250, 240, 230, 220, 210, 200, 190, 180, 170, 160, 150, 140, 130, 120, 110, 100, 90, 80, 70, 60, 50, 40, 30, 20, 10",TRUE,rolling,,11,"Multiclass, GT, Prototype, North America, IMSA",,,
NTT IndyCar,F-USA_2023,94,1,3,1,12,1,19,"50, 40, 35, 32, 30, 28, 26, 24, 22, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,16,"Open Wheel, North America, Indy",,,
Intercontinental GT Challenge,GT3_Gen2,93,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,5,"GT, World, SRO",,,
Formula 2,F-Reiza,91,1,3,1,12,1,19,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,identical,12,"Open Wheel, World, F1",,,
GT World Challenge Europe,GT3_Gen2,90,1,3,1,12,1,20,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,10,"GT, Europe, SRO",,,
Porsche Carrera Supercup,Carrera Cup,87,1,3,1,12,1,20,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,8,"GT, One Make, Europe",,,
GT World Challenge America,GT3_Gen2,85,1,3,1,12,1,20,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,7,"GT, North America, SRO",,,
European Le Mans Series,"GT3, P1Gen2, LMP2",84,1,3,1,12,1,20,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,6,"Multiclass, GT, Prototype, Europe, WEC",,,
Nürburgring Langstrecken-Serie,"GT3_Gen2, GT4",82,1,3,1,12,1,20,"15,11,8,6,4,3,2,1",TRUE,rolling,,8,"GT, Multiclass, Europe",,,
Indy NXT,F-Reiza,81,1,3,1,12,1,20,"50, 40, 35, 32, 30, 28, 26, 24, 22, 20, 19, 18, 17, 16, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",TRUE,rolling,identical,12,"Open Wheel, North America, Indy",,,
Formula 3,F-3,80,1,3,1,12,1,20,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,10,"Open Wheel, World, F1",,,
British GT Championship,"GT3_Gen2, GT4",77,1,3,1,12,1,20,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,rolling,,8,"GT, United Kingdom",,,
Porsche Carrera Cup North America,Carrera Cup,74,1,3,1,12,1,21,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,8,"GT, One Make, North America",,,
Porsche Carrera Cup UK,Carrera Cup,73,1,3,1,12,1,21,"25, 20, 17, 14, 12, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,8,"GT, One Make, United Kingdom",,,
GT World Challenge Sprint,GT3_Gen2,72,1,3,1,12,1,21,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,6,"GT, SRO",,,
Lamborghini Super Trofeo Europe,Super Trofeo,71,1,3,1,12,1,21,"15, 12, 10, 8, 6, 5, 4, 3, 2, 1",TRUE,rolling,,6,"GT, One Make, Europe",,,
Lamborghini Super Trofeo North America,Super Trofeo,69,1,3,1,12,1,21,"15, 12, 10, 8, 6, 5, 4, 3, 2, 1",TRUE,rolling,,6,"GT, One Make, North America",,,
Ferrari Challenge Europe,GT2_05,67,1,3,1,12,1,21,"15, 12, 10, 8, 6, 4, 2, 1",FALSE,rolling,identical,8,"GT, One Make, Europe",,,
Ferrari Challenge North America,GT2_05,65,1,3,1,12,1,21,"15, 12, 10, 8, 6, 4, 2, 1",FALSE,rolling,identical,8,"GT, One Make, North America",,,
USF Pro 2000,F-3,63,1,3,1,12,1,21,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,10,"Open Wheel, North America",,,
FRECA,F-Inter,62,1,3,1,12,1,21,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,10,"Open Wheel, Europe",,,
Radical Cup North America,P4,61,1,3,1,12,1,21,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,6,Prototype,,,
Radical Cup Europe,P4,60,1,3,1,12,1,21,"40,35,30,27,24,22,20,16,12,11,10,9,8,7,6,5,4,3,2,1",FALSE,rolling,,6,Prototype,,,
Formula 4 Southern Europe,F-Trainer_A,59,1,3,1,12,1,22,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,6,"Open Wheel, Europe",,,
GT Revival Series,GT1_05,58,1,3,1,12,1,22,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",TRUE,standing,,5,"GT, SRO",,,
Formula 4 UK,F-Trainer_A,57,1,3,1,12,1,22,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,10,"Open Wheel, United Kingdom",,,
Formula 4 Northern Europe,F-Trainer_A,55,1,3,1,12,1,22,"25, 18, 15, 12, 10, 8, 6, 4, 2, 1",FALSE,standing,,6,"Open Wheel, Europe",,,
USF2000,F-Inter,52,1,3,1,12,1,22,"30, 25, 22, 19, 15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1",FALSE,standing,,9,"Open Wheel, North America",,,
